unique feature count: 2783
feature_name, unique_value, total_count
1814, 6128, 57001
0102, 8442, 56461
2302, 31, 56225
190, 6920, 56170
0113, 8869, 55968
0114, 6049, 55956
0116, 700, 55844
191, 16406, 55617
1001, 3964, 55601
2403, 913, 55251
2404, 526, 55251
3191, 13, 54978
3192, 17, 54978
3195, 20, 54978
3197, 7, 54978
3430, 32, 54978
1840, 45, 54973
3193, 31, 54936
2405, 515, 54908
0117, 4839, 54895
0118, 4403, 54893
3196, 23, 54871
3190, 19, 54803
1815, 3924, 54248
1850, 1248, 52639
10004, 993, 52054
300005, 312, 51272
0115, 125, 50944
3429, 331, 50295
3730, 37, 50210
0409, 3393, 48083
0426, 111, 47809
0421, 71, 47590
0434, 2668, 47276
0424, 315, 46210
0420, 18, 45848
0430, 6, 45777
0101, 20012, 45623
0431, 10, 45400
192, 2986, 44686
0413, 133, 43616
0954, 6895, 42626
0911, 122, 42606
0947, 151, 42593
0949, 247, 42549
0912, 309, 42219
0407, 13, 41285
100010, 30, 40666
0423, 37, 40502
0901, 55, 40106
0435, 76, 40027
1308, 5521, 39877
1117, 6082, 39123
0929, 358, 39121
0432, 5, 38817
193, 1337, 38713
0433, 8, 38648
0406, 24, 37912
0985, 132, 37673
0974, 53, 37614
0975, 192, 37534
0976, 11, 37320
3207, 24, 37075
0405, 52, 36972
1301, 149, 36878
1302, 343, 36609
0978, 1190, 35603
3399, 12, 34912
1115, 6188, 34446
1304, 8, 34421
0979, 3, 34251
3400, 11, 34213
A202, 5419, 34107
1303, 31, 33870
A201, 10156, 33869
314, 1819, 33333
0222, 3955, 32882
0202, 97, 32852
0217, 138, 32845
0203, 226, 32814
0980, 2, 32532
0201, 68, 32415
0208, 109, 31732
0207, 18, 31434
1305, 62, 31299
0119, 277, 31291
0210, 120, 31178
0212, 11, 31080
183, 2452, 31049
0216, 29, 30703
2174, 1813, 30333
10002, 2287, 30215
0215, 184, 30178
0209, 232, 30122
0973, 28, 29944
1315, 27, 29697
1314, 225, 28427
0120, 8055, 28277
0206, 12, 28247
1313, 26, 28026
10003, 2162, 27626
0425, 28, 26899
1102, 1459, 26760
31, 435, 26600
315, 898, 26600
316, 441, 26600
319, 739, 26600
37, 1316, 26600
38, 1438, 26600
312, 967, 26393
32, 852, 26355
1322, 37, 26276
1321, 37, 26273
100006, 401, 26239
313, 332, 26229
317, 296, 26229
2333, 1661, 26229
33, 554, 26143
2372, 2198, 25972
1845, 263, 25735
320, 253, 25456
1103, 5387, 25222
1328, 17, 25139
0977, 2, 23625
0709, 7786, 22693
100007, 734, 22608
0707, 43, 22563
0702, 400, 22501
0703, 1038, 22498
0706, 160, 22495
0705, 247, 22440
1316, 524, 22327
3601, 528, 22152
0731, 1097, 21998
0972, 148, 21355
0715, 150, 21299
0730, 320, 21285
39, 668, 21216
0124, 66, 21101
34, 176, 21004
0726, 26, 20909
0403, 8, 20795
0429, 18, 20692
2406, 647, 19857
0121, 8263, 19532
0122, 846, 19532
0123, 937, 19531
100005, 430, 19422
0728, 4, 19235
0539, 7438, 18569
0503, 755, 18568
0501, 96, 18566
0509, 2134, 18554
0516, 554, 18219
0537, 73, 18115
0541, 69, 18115
300036, 1848, 17100
2228, 138, 16801
3486, 14, 16165
2229, 240, 16055
2230, 89, 15906
2231, 280, 15906
30007, 31, 15888
2233, 287, 15873
2501, 563, 15801
3485, 24, 15670
1329, 101, 15547
3189, 16, 14915
2420, 94, 14739
0422, 3, 14074
1345, 3904, 13836
A601, 20, 13801
0427, 10, 13398
155, 2604, 13220
3301, 2292, 13184
4001, 198, 12577
3194, 11, 12568
269004, 198, 12491
269018, 388, 12491
269020, 890, 12491
269021, 363, 12490
269022, 62, 12490
269023, 260, 12490
269024, 32, 12490
269015, 272, 12485
269025, 202, 12422
269013, 374, 12323
1127, 4279, 12284
269003, 383, 12279
269006, 629, 12279
269008, 212, 12279
269009, 363, 12279
269010, 700, 12279
269012, 258, 12279
269017, 1049, 12279
269019, 1013, 12279
269014, 896, 12273
269016, 562, 12273
269005, 230, 12049
269011, 2394, 11938
360, 20, 11848
1402, 1290, 11572
0225, 215, 11300
0440, 21, 11233
0983, 56, 11161
0981, 15, 10947
269007, 361, 10872
0982, 8, 10852
0984, 38, 10770
1325, 28, 10643
1326, 32, 10642
979012, 390, 10381
979016, 520, 10329
979021, 596, 10329
979003, 238, 10328
979004, 855, 10328
979007, 287, 10328
979008, 371, 10328
979009, 782, 10328
979011, 350, 10328
979015, 1403, 10328
979017, 1052, 10328
979020, 1496, 10328
979022, 1435, 10328
979023, 943, 10328
979001, 342, 10277
979013, 50, 10168
979014, 462, 10168
979018, 85, 10166
979019, 572, 10166
0436, 66, 10087
979002, 342, 10070
979006, 500, 9931
979005, 180, 9423
1330, 714, 8718
300021, 2998, 8718
300019, 588, 8694
0428, 3, 8643
1106, 205, 8570
139, 1046, 8534
809001, 1053, 8523
300018, 801, 8413
1107, 198, 8360
0987, 317, 8172
0414, 2, 8097
143, 1861, 8086
669002, 676, 8021
669001, 1042, 7905
669006, 1813, 7702
1474, 5534, 7649
300017, 1315, 7587
A302, 1397, 7528
A301, 2651, 7500
100014, 2330, 7389
809009, 229, 7333
809008, 1176, 7213
100012, 2189, 7044
1112, 462, 7042
669005, 1851, 7035
809004, 522, 6946
2386, 2785, 6872
0415, 4, 6845
2177, 1260, 6789
100013, 1227, 6761
809017, 1415, 6683
0546, 642, 6663
669009, 4564, 6614
300092, 292, 6589
809025, 580, 6564
809026, 76, 6564
809023, 265, 6540
10009, 2435, 6509
300008, 87, 6457
809021, 297, 6384
0213, 23, 6376
300011, 849, 6264
300012, 585, 6264
300013, 551, 6264
2376, 2801, 6219
300001, 658, 6185
669004, 1420, 6051
2409, 452, 6024
669021, 588, 6007
809010, 652, 5948
0439, 71, 5760
300014, 93, 5732
